EXERCICIO,DESC_ORGAO,CODIGO_RUBRICA,DESC_RUBRICA,RECEITA_PREVISTA,RECEITA_ARRECADADA,RECEITA_ARRECADADA_JAN,RECEITA_ARRECADADA_FEV,RECEITA_ARRECADADA_MAR,RECEITA_ARRECADADA_ABR,RECEITA_ARRECADADA_MAI,RECEITA_ARRECADADA_JUN,RECEITA_ARRECADADA_JUL,RECEITA_ARRECADADA_AGO,RECEITA_ARRECADADA_SET,RECEITA_ARRECADADA_OUT,RECEITA_ARRECADADA_NOV,RECEITA_ARRECADADA_DEZ
2016,Prefeitura,1325015625,OUTORGA ONEROSA AEIU PORTO-DECRETO 35.491/2012,0,331 30000000000007,24 98,23 989999999999998,28 079999999999998,25 82,27 41,29 030000000000001,27 989999999999998,30 969999999999999,28 550000000000001,27 32,27 300000000000001,29 859999999999999
2016,Prefeitura,1325019802,CONV.817143/2015 PROG. DE CAPACITACAO DOS SERV. DA GUARDA MUNICIPAL PARA OS GRANDES EVENTO,0,14703 24,1206 54,1159 6800000000001,1357 21,1236 78,1308 54,1474 7,1525 74,1701 6099999999999,1699 3900000000001,1956 4200000000001,76 629999999999995,0
2016,Prefeitura,1325019994,CONV. N.021/2012/CEF - RESIDENCIAL TARONI-TTS PMCMV-SMH,0,9695 4899999999998,620 88,594 94000000000005,699 33000000000004,811 90999999999997,979 71000000000004,1287 6800000000001,954 17999999999995,1140 4400000000001,965 91999999999996,818 38999999999999,461 75,360 36000000000001
2016,Prefeitura,1325015504,SALDOS CONTRATOS - SMF,0,67218 76999999999,5065 71,4854 1000000000004,5705 8699999999999,5240 1099999999997,5552 7799999999997,5873 96,5669 9399999999996,6282 71,5801 4899999999998,5547 6000000000004,5542 8500000000004,6081 6499999999996
2016,Prefeitura,1325015618,TRANSF.DO FNDE - APOIO FINANCEIRO SUPLEMENTARP/EDUC.INFANTIL EM CRECHES DE ZERO A 48 MESES,2015208,220410 16999999998,24453 119999999999,15017 98,18655 689999999999,17147 98,18212 360000000001,19281 169999999998,18593 959999999999,20574 82,18962 110000000001,18149 91,16580 77,14780 299999999999
2016,Prefeitura,1325019820,CONV. N 817194/2015/MJ/SESGE - CAPACITACAO DOS INTEGRANTES DA GUARDA MUNICIPAL PARA ATUACA,0,5842 8599999999988,0,0,273 31999999999999,777 97000000000003,837 42999999999995,919 29999999999995,885 86000000000001,979 23000000000002,900 01999999999998,269 73000000000002,0,0
2016,Prefeitura,1325019968,CONV. TC 0352.732-89/2011 - URBANIZACAO COMUNIDADE CHAPADAO / CHICO MENDES - PAC II - SMH,0,589304 72999999998,45346 440000000002,47352 769999999997,45834 589999999997,47815 980000000003,48778 010000000002,48305 279999999999,51900 989999999998,54638 940000000002,48911 339999999997,48987 379999999997,49789 809999999998,51643 199999999997
2016,Prefeitura,1325019974,CONV. TC 0416060-38/2013 - ESTADIO AQUATICO - PARQUE OLIMPICO DA BARRA - SMO,0,1140811 47,84641 149999999994,87692 600000000006,42309 360000000001,48569 739999999998,19901 080000000002,131566 98999999999,117058 98,131506 72,123181 46000000001,116692 42,116828 60000000001,120862 37
2016,Prefeitura,1325019976,CONV. TC 0437.268-73/2014/CEF - COMPLEXO ESPORTIVO DE DEODORO - RIO 2016 - DOMINIO URBANO,0,281722 20000000001,21309 110000000001,29220 27,29179 310000000001,23546 740000000002,3411 0700000000002,39960 769999999997,22553 200000000001,21908 279999999999,23578 959999999999,22005 32,23024 779999999999,22024 389999999999
2016,Prefeitura,1325019977,CONV. 070/2005/MTE - QUALIFICACAO SOCIAL E PROFISSIONAL NOS ARCOS OCUPACIONAIS - PROJOVEM,0,181608 57000000001,13694 32,13149 51,15394 809999999999,14150 639999999999,15028 98,15910 959999999999,15343 870000000001,16978 5,15647 67,14977 440000000001,14963 209999999999,16368 66
2016,Prefeitura,1325019980,CONV. CR 0402.325-23/2012-PAC CONTENCAO DE ENCOSTAS-COMPLEXO DO ALEMAO E PENHA-SMO,0,128299 71000000002,7224 6099999999997,6911 9300000000003,6983 9799999999996,6552 6499999999996,6109 1800000000003,8767 6499999999996,9059 9300000000003,10029 690000000001,19299 389999999999,21634 790000000001,14949 610000000001,10776 299999999999
2016,Prefeitura,1325030420,RECURSOS DA CAMARA MUNICIPAL DO RIO DE JANEIRO,0,13937356 219999999,3663160 1099999999,0,0,0,6639009 5999999996,-3663160 1099999999,0,0,3614281 6800000002,3684064 9399999999,0,0
2016,Prefeitura,1325019803,CONV. CR 0402.326-37/2012 - PAC CONTENCAO - ZONA OESTE,0,22 500000000000004,1 8899999999999999,1 8200000000000001,2 1099999999999999,1 9399999999999999,0 10000000000000001,2 1800000000000002,2 0899999999999999,2,2 1899999999999999,2 0299999999999998,2 1200000000000001,2 0299999999999998
2016,Prefeitura,1325019961,CONV.776444/2012/MIN.ESPORTES/COB-COMPLEXO ESPORTIVO DE DEODORO-RIO 2016-SMO,0,367428 06000000006,27204 189999999999,18841 25,14546 9,18530 540000000001,33379 660000000003,37670 110000000001,45287 830000000002,44914 110000000001,41281 089999999997,39300 980000000003,25987 400000000001,20484
2016,Prefeitura,1325030422,RECURSOS DO FEPT,89930,80007 550000000017,7962 4899999999998,7656 7399999999998,9060 0300000000007,8402 2299999999996,8982 0200000000004,9563 7399999999998,9284 4899999999998,10360 629999999999,9663 5599999999995,9318 2099999999991,9352 7299999999996,-19599 32
2016,Prefeitura,1331990101,OUTRAS RECEITAS DE CONCESSOES E PERMISSOES-SERVICOS DE ESGOTAMENTO SANITARIO DA AP5,9329400,7394264 7299999995,611196 44999999995,1121404 0700000001,584329 62,483720 27000000002,656379 13,793024 68000000005,611304 22999999998,734699 56000000006,665260 96999999997,560647 40000000002,572298 34999999998,0
2016,Prefeitura,1600130502,VISTORIA DE VEICULOS - ADMINISTRACAO DIRETA,24038,20026 079999999998,1291 3599999999999,138 34999999999999,293 99000000000001,755 16999999999996,985 76999999999998,2507 5700000000002,1890 6400000000001,1308 48,2951 6399999999999,2450 0100000000002,3049 5100000000002,2403 5900000000001
2016,Prefeitura,1721335102,PISO DA ATENCAO BASICA VARIAVEL - PAB VARIAVEL,253478040,223355896,18627836 5,12528590,19106322 5,16073052 300000001,13028205 699999999,16939392 5,18819916,15958689,19204340,27860310 5,20139572,25069669
2016,Prefeitura,1724010101,TRANSFERENCIAS DE RECURSOS DO FUNDEB - PARCELA FPM,141071485,143961680 72999999,11173599 949999999,13987732 02,8496408 4299999997,10100405 109999999,13431101 119999999,11096265 060000001,8044922 2599999998,9976818 7699999996,8113146 8200000003,9848508 3300000001,17968466 02,21724306 84
2016,Prefeitura,1724010701,TRANSFERENCIAS DE RECURSOS DO FUNDEB - PARCELA IPVA,145103607,164220025 92000002,20413658 02,55102824 539999999,28137819 100000001,18283459 23,9451237 6600000001,6510632 7599999998,5864724 1500000004,5263074 5599999996,3809208 3100000001,3441745 3900000001,4468049 1500000004,3473593 0499999998
2016,Prefeitura,1761035103,CONV. CONSTRUCAO  REFORMA E EQUIPAMENTOS PARA CREAS/CRAS,15159912,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Prefeitura,1325015633,TRANSFERENCIA DO FNDE - TC PAR N 00138/2016 - PROGRAMA PROINFANCIA - INFRAESTRUTURA ESCOLA,0,49 5,0,0,0,0,0,0,0,0,0,0,0,49 5
2016,Prefeitura,1325019972,CONV.790967/2013-IMPLANTACAO DE 100 NUCLEOS DE ESPORTE E LAZER-SMEL,0,758775 33000000007,57919 940000000002,55670 75,65153 07,59371 309999999998,62816 839999999997,66698 509999999995,64271 75,71046 660000000003,65299 830000000002,62167 629999999997,61763 389999999999,66595 649999999994
2016,Prefeitura,1325019973,CONV. TC 0416057-83/2013 - GINASIO HALL 4 HANDEBOL - PARQUE OLIMPICO DA BARRA - SMO,0,1286135 0700000001,207785 23999999999,226950 70999999999,240648 64999999999,143354 89000000001,45609 739999999998,24689 68,53024 769999999997,109172 64,102361 22,62608 760000000002,34192 970000000001,35735 800000000003
2016,Prefeitura,1361010101,RECEITA DE CESSAO DO DIREITO DE OPERACIONALIZACAO DE PAGAMENTOS DE PESSOAL - ADM DIRETA,104170351,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Prefeitura,1913990101,IVVC - MULTA FORMAL OU PENAL,13747,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Prefeitura,1913990203,OUTRAS TAXAS - MULTAS / JUROS DE MORA / CORRECAO MONETARIA,1321396,860850 66000000003,39721 050000000003,43753 010000000002,84014 830000000002,58896 650000000001,23515 939999999999,127005 05,97471 639999999999,74689 5,25250 139999999999,83325 699999999997,139237 48000000001,63969 669999999998
2016,Prefeitura,1919150110,MULTAS DE TRANSITO-LEI N.5637/2013,0,275607 07999999996,39889 269999999997,35531 419999999998,41710 32,27873 200000000001,36026 830000000002,26290 18,33872 610000000001,32408 169999999998,31075 23,8015 4900000000007,18811 389999999999,-55897 029999999999
2016,Prefeitura,1919500107,INFRACOES POR USO DE AREA PUBLICA,914272,676121 68000000005,62016 370000000003,75018 070000000007,56670 82,46042 860000000001,46874 400000000001,60827 449999999997,56164 57,63511 57,46680 190000000002,56269 529999999999,44380 709999999999,61665 139999999999
2016,Prefeitura,1922010101,RESTITUICOES DE CONVENIOS-SME,659474,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Prefeitura,1325015529,CONTRAPARTIDA PCRJ - BID PROAP III 2482/OC-BR - PROGRAMA DE URBANIZACAO DE ASSENTAMENTOS P,0,21140 879999999997,610 38999999999999,33 770000000000003,7 4400000000000004,6 8300000000000001,215 00999999999999,4016 52,5069 96,5675 8599999999997,2825 3600000000001,212 93000000000001,1555 03,911 77999999999997
2016,Prefeitura,1325015623,TRANSF DO FNDE-TC PAR N 7422/2013-CONSTRUCAO DE UNIDADES ESCOLARES-SME,222592,235312 78,17934 639999999999,17238 189999999999,23404 41,23666 889999999999,25135 900000000001,26611 02,17596 349999999999,17991 07,16587 509999999998,15885 700000000001,15883 139999999999,17377 959999999999
2016,Prefeitura,1325019960,CONV. 386791-20/2012/MINTUR - PROJETO ACESSIBILIDADE PARA O MRJ - SETUR,0,-4 5474735088646412E-13,1880 03,1898 3800000000001,-3778 4100000000003,0,0,0,0,0,0,0,0,0
2016,Prefeitura,1325019984,CONV. CR 0402.324-18/2012-PAC CONTENCAO-ZONA NORTE-SMO,0,453 93999999999994,2 98,38 729999999999997,363 69,5 6299999999999999,0 28000000000000003,6 3300000000000001,6 0700000000000003,5 8300000000000001,6 3799999999999999,5 9100000000000001,6 1799999999999997,5 9299999999999997
2016,Prefeitura,1600130104,INSCRICAO EM CONCURSOS - ADM.DIRETA,0,2360481,373320,19760,1582850,498850,140,0,0,0,0,0,465110,-579549
2016,Prefeitura,1600130106,SERVICOS DE INSCRICAO EM CONSURSOS PUBLICOS-DREM,0,1009149,0,0,0,0,0,0,0,0,0,0,0,1009149
2016,Prefeitura,1721335203,FUNDO DE ACOES ESTRATEGICAS E COMPENSACAO - FAEC,133951028,134772018 81,16770061 300000001,10539852 15,10139964 359999999,8500650 0999999996,13757300 060000001,10005402 49,9929620 3100000005,9322146 2599999998,8914841 5299999993,9563858 3000000007,17503786 800000001,9824535 1500000004
2016,Prefeitura,1721340149,TRANSFERENCIAS DO FNAS - PISO BASICO FIXO,6768000,9942702 3399999999,540000,0,0,0,3000647 1299999999,552000,552000,2024309 1899999999,0,1104000,0,2169746 02
2016,Prefeitura,1722335303,COFINANCIAMENTO DE VIGILANCIA EM SAUDE,5340000,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Prefeitura,1325015516,CONTR. PCRJ/BNDES N.14202691 - MELHORIA DA INFRAESTRUTURA DE MOBILIDADE URBANA,0,21816002 710000005,1849855 3,1446962 1499999999,5238376 3499999996,3832100 8399999999,0,1506436 4299999999,1341831 3999999999,1642405 22,1387477,1163851 98,854330 09999999998,1552375 9399999999
2016,Prefeitura,1325015518,BIRD 8271-BR-PROJETO RIO DE EXCELENCIA,0,309297 14000000001,3377 0900000000001,3236 04,3803 8400000000001,3429 0599999999999,3158 04,47464 25,57754 669999999998,58760 610000000001,24277 389999999999,22572 310000000001,21214 93,60248 910000000003
2016,Prefeitura,1325019804,Conv.002/2012/CEF - CONDOMINIO FERRARA - TTS P    MCMV - SMH,0,8818 4600000000009,405 93000000000001,687 10000000000002,807 67999999999995,898 32000000000005,1062 0699999999999,1032 1199999999999,969 23000000000002,1254 5899999999999,754 50999999999999,600 28999999999996,248 27000000000001,98 349999999999994
2016,Prefeitura,1325019805,Conv. 003/2012/CEF - CONDOMINIO LIVORNO - TTS P   MCMV - SMH,0,10087 280000000001,410 44,720 99000000000001,847 49000000000001,951 25,1129 6500000000001,1092 8900000000001,1020 36,1453 5799999999999,1094 3499999999999,897 26999999999998,353 81,115 2
2016,Prefeitura,1325019981,CONV. TC 0415061-27/2013/CEF - IMPLANTACAO DO SISTEMA VEICULO LEVE SOBRE TRILHO DA AREA CE,0,448546 74000000005,22206 790000000001,1005 22,1171 9200000000001,66269 940000000002,136991 97,13642 16,2006 1700000000001,3132 7600000000002,29408 810000000001,52696 290000000001,59540 5,60474 209999999999
2016,Prefeitura,1325019986,CONV. N.012/2012/CEF - RESIDENCIAL AVEIRO-TTS PMCMV-SMH,0,12882 280000000001,274 10000000000002,782 83000000000004,920 17999999999995,1207 4100000000001,1534 3399999999999,1389 22,1322 8699999999999,2212 1999999999998,1536 24,1120 1199999999999,427 80000000000001,154 97
2016,Prefeitura,1325019996,CONV. N.024/2012/CEF - RESIDENCIAL VIDAL-TTS PMCMV-SMH,0,12688 819999999998,914 16999999999996,875 99000000000001,1029 7,1218 7,1483 49,1732 6500000000001,1288 77,1478 74,1141 0599999999999,980 72000000000003,397 55000000000001,147 28
2016,Prefeitura,1721340153,TRANSFERENCIAS DO FNAS - PISO DE ALTA COMPLEXIDADE I,6696000,14373917 91,1116000,250000,1929917 9099999999,0,240000,0,2254000,2184000,0,1476000,558000,4366000
2016,Prefeitura,1721359907,TRANSF.DO FNDE - TC PAR N 7422/2013-CONSTRUCAO DE UNIDADES ESCOLARES-SME,8283377,262844 12,0,0,0,0,0,0,0,0,842 61000000000001,857 45000000000005,1056 77,260087 29000000001
2016,Prefeitura,1325019989,CONV. N.015/2012/CEF - RESIDENCIAL COIMBRA-TTS PMCMV-SMH,0,15157 099999999999,595 63,1039 8,1222 25,1472 8900000000001,1807 24,1685 74,1518 53,2247 5900000000001,1467 9100000000001,1216 29,602 09000000000003,281 13999999999999
2016,Prefeitura,1325019993,CONV. N.020/2012/CEF - RESIDENCIAL SEVILHA-TTS PMCMV-SMH,0,8378 4100000000017,241 46000000000001,538 12,632 55999999999995,846 20000000000005,1083 3099999999999,971 65999999999997,828 80999999999995,1299 9400000000001,900 75,678 54999999999995,260 69999999999999,96 349999999999994
2016,Prefeitura,1325019998,CONV. N.028/2012/CEF - RESIDENCIAL ZARAGOSA-TTS PMCMV-SMH,0,20508 579999999998,648 09000000000003,1289 9100000000001,1516 25,1781 8900000000001,2162 1700000000001,2035 53,1742 6800000000001,2933 27,2484 8699999999999,2132 1599999999999,1092 48,689 27999999999997
2016,Prefeitura,1600990104,SERVICOS DE CORTE DE ARVORE E/OU REMOCAO DE VEGETACAO,8005594,3158821 7199999997,0,94348 399999999994,202411 64999999999,746008 69999999995,34561 889999999999,45555 290000000001,151725 47,65509 260000000002,808035 55000000005,178742 75,513793 41999999998,318129 34000000008
2016,Prefeitura,1721010501,COTA-PARTE DO IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL,310794,202478 95999999999,7218 21,3016 9499999999998,8855 7799999999988,5515 9399999999996,9826 8099999999995,941 32000000000016,5627,4169 1399999999994,29740 650000000001,95899 720000000001,27861 34,3806 0999999999995
2016,Prefeitura,1721335303,PISO VARIAVEL DE VIGILANCIA E PROMOCAO DA SAUDE,3820908,36085784 629999995,600000,10078985 689999999,1873664 48,1327066,1807728 24,1796574 24,1815840 24,2741588 25,6900876 9299999997,1553188,2043262 48,3547010 0800000001
2016,Prefeitura,1721340156,TRANSFERENCIAS DO FNAS - PISO DE TRANSICAO DE MEDIA COMPLEXIDADE,3247334,541222 45999999996,541222 45999999996,0,0,0,0,0,0,0,0,0,0,0
2016,Prefeitura,1724010201,TRANSFERENCIAS DE RECURSOS DO FUNDEB - PARCELA LC 87/96,6451533,6124511 04,510375 91999999998,510375 91999999998,510375 91999999998,510375 91999999998,510375 91999999998,510375 91999999998,510375 91999999998,510375 91999999998,510375 91999999998,510375 91999999998,510375 91999999998,510375 91999999998
2016,Prefeitura,1724010601,TRANSFERENCIAS DE RECURSOS DO FUNDEB - PARCELA ITCM,43927024,71612982 419999987,2443261 5,2129167 1600000001,11713391 880000001,5234730 46,4051009 3300000001,3908712 1600000001,19562829 390000001,3960429 5299999998,3002911 1600000001,6221031 5899999999,4417107 5099999998,4968400 75
2016,Prefeitura,1325015533,PCRJ - MU E PMI,0,1879143 8199999998,0,0,0,0,0,0,0,0,0,0,766950 64000000001,1112193 1799999999
2016,Prefeitura,1325015613,TRANSFERENCIAS DO FNDE - PROGRAMA DINHEIRO DIRETO NA ESCOLA - PDDE,249,472 60999999999996,36 649999999999999,38 960000000000001,45 619999999999997,41 939999999999998,44 539999999999999,47 149999999999999,45 469999999999999,50 310000000000002,46 369999999999997,44 390000000000001,24 879999999999999,6 3300000000000001
2016,Prefeitura,1325015616,TRANSFERENCIA DO FNDE - PROGRAMA PROJOVEM URBANO - SME,186574,430201 54999999999,28284 830000000002,29055 66,34001 940000000002,33796 150000000001,36305 139999999999,38086 269999999997,36310 940000000002,41445 129999999997,38861 730000000003,37131 440000000002,36879 459999999999,40042 860000000001
2016,Prefeitura,1325015630,TRANSFERENCIA DO FNDE - TC PAR N 00151/2016 - PROGRAMA PROINFANCIA - INFRAESTRUTURA ESCOLA,0,407 20999999999998,0,0,0,0,0,0,0,0,0,0,0,407 20999999999998
2016,Prefeitura,1325019811,Conv. 009/2012/CEF - RESIDENCIAL MANGUEIRA II -    TTS PMCMV - SMH,0,8852 0400000000009,698 62,669 44000000000005,786 89999999999998,853 78999999999996,996 98000000000002,1288 1800000000001,1007 11,1033 8699999999999,641 25,541 15999999999997,234 37,100 37
2016,Prefeitura,1325019812,Conv. 011/2012/CEF - RESIDENCIAL ALMADA - TTS P   MCMV - SMH,0,19345 699999999997,973 45000000000005,1457 99,1713 8099999999999,1973 3199999999999,2371 9899999999998,2250 98,2087 46,2896 4200000000001,1669 5799999999999,1242 51,492 08999999999997,216 09999999999999
2016,Prefeitura,1721223004,COTA-PARTE ROYALTIES-COMPENSACAO FINANCEIRA PRODUCAO DE PETROLEO LEI 7990/89-DREM,0,4197288 04,0,0,0,0,0,0,0,0,0,0,0,4197288 04
2016,Prefeitura,1721340169,TRANSFERENCIAS DO FNAS - INDICE GESTAO DESCENT./SIST.UNICO ASSIST. SOCIAL-IGD SUAS,671808,678092 76000000001,0,0,54787 480000000003,0,164362 44,54787 480000000003,109574 96000000001,0,0,54787 480000000003,54787 480000000003,185005 44
2016,Prefeitura,1721340170,TRANSFERENCIAS DO FNAS-PROGRAMA NACIONAL DE ACESSO AO ENSINO TECNICO E EMPREGO,0,212166 5,0,0,0,0,0,0,0,0,0,0,0,212166 5
2016,Prefeitura,1325019975,CONV. 806406/2014/MTE/SENAES - UDES - UNIDADE DE DESENVOLVIMENTO ECONOMICO E SOLIDARIO - R,0,2176 6599999999999,166 5,159 40000000000001,186 13999999999999,170 63,180 68000000000001,190 93000000000001,183 86000000000001,203 19999999999999,187 16,178 38999999999999,177 27000000000001,192 5
2016,Prefeitura,1325019991,CONV. N.018/2012/CEF - RESIDENCIAL EVORA-TTS PMCMV-SMH,0,9991 6100000000006,161 03,515 76999999999998,606 25,945 16999999999996,1274 77,1093 3099999999999,982 92999999999995,1737 9300000000001,1116 5999999999999,818 89999999999998,506 52999999999997,232 41999999999999
2016,Prefeitura,1325030611,RESERVA TECNICA - DEPOSITOS JUDICIAIS,39648590,-1 4901161193847656E-8,6277095 7699999996,5852790 25,6942104 9699999997,6718529 9199999999,7966833 9299999997,8447319 8399999999,7471712 6399999997,9768312 5700000003,9188286 6500000004,8718019 9100000001,-77351006 450000003,0
2016,Prefeitura,1339990103,PERMISSAO DE USO - OBRAS - F/SPA,64331200,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Prefeitura,1600139901,SERVICOS ADMINISTRATIVOS - DIRETA,12279452,14189012 480000002,1051908 3899999999,917568 47999999998,1299123 1399999999,1195485 1100000001,1197581 1100000001,1128398 48,1295242 6699999999,1181421 05,1238909 9299999999,1202907 51,1226944 8,1253521 8100000001
2016,Prefeitura,1721010201,COTA-PARTE DO FUNDO DE PARTICIPACAO DOS MUNICIPIOS-COTA MENSAL,209854280,217005125 09999999,16842874 359999999,21084843 559999999,12807326 300000001,15225160 409999998,20245788 399999999,16726301 099999998,12126764 51,15038868 889999999,12229604 979999999,14845456 360000001,27085326 279999997,32746809 949999996
2016,Prefeitura,1721335201,LIMITE FINANCEIRO DA MEDIA E ALTA COMPLEXIDADE - MAC,893739406,802277944 79999995,66948987 640000001,66889881 990000002,67227286 090000004,67299445 189999998,66543508 920000002,67943176 819999993,69063062 909999996,68028461 969999999,66352859 18,66308491 710000001,64455677 609999999,65217104 770000003
2016,Prefeitura,1721335301,VIGILANCIA EPIDEMIOLOGICA E AMBIENTAL EM SAUDE,40567763,24063875 120000001,10678985 689999999,-5038500 1100000003,1867317 8600000001,1837455 5600000001,1655391 8600000001,1665988 1599999999,1647685 46,1630346 0600000001,1623602 96,1622639 6599999999,1619749 76,3253212 2000000002
2016,Prefeitura,1721350301,TRANSF. DO FNDE-PROGRAMA PNAE - MERENDA ESCOLAR,63532936,70744564,6584104,0,6410438,6410438,6416046,6427262,6416046,6416046,6416046,6416046,6416046,6416046
2016,Prefeitura,1113050101,IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA,5855471623,5105506463 2399998,526439014 84999996,399154136 19,381136894 50999999,424749489 5,410663196 01999998,418644517 09000003,430161885 65000004,430225433 58000004,414879529 81,408119125 96999997,393902057 89999998,467431182 17000002
2016,Prefeitura,1325015102,TRANSFERENCIAS DO FEAS,28563,51827 719999999994,14054 860000000001,12902 92,14398 1,8681 3400000000001,1032 5699999999999,147 94999999999999,213 22,342 38,13 74,13 140000000000001,13 140000000000001,14 359999999999999
2016,Prefeitura,1325015105,CARTA ACORDO 4700004097/2007/SENASP/PNUD-CASA DE ABRIGO DINA SFAT - FMAS,0,7607 9900000000007,573 69000000000005,550 86000000000001,644 91999999999996,592 80999999999995,629 59000000000003,666 54999999999995,642 78999999999996,711 26999999999998,655 50999999999999,627 44000000000005,626 84000000000003,685 72000000000003
2016,Prefeitura,1325015221,CONTRIBUICAO PARA O CUSTEIO DO SERVICO DE ILUMINACAO PUBLICA - FEIP,14035634,4114867 1600000001,383240 90000000002,405435 42999999999,455142 44,438578 19,495324 76000000001,551377 33999999997,474674 03000000003,395455 12,238684 01999999999,79057 089999999997,79238 490000000005,118659 35000000001
2016,Prefeitura,1325015227,PCRJ-DOACOES-FMID,0,384431 53999999998,32374 650000000001,30284 43,35453 82,32588 52,34611 309999999998,36642 489999999998,34866 5,37452 449999999997,34151 489999999998,32390 599999999999,26452 959999999999,17162 32
2016,Prefeitura,1325015310,CONV. S/N/2000/ERJ - CENTRO ESPORTIVO E CULTURAL DA ROCINHA - SMO,0,490272 84000000008,37275 910000000003,35792 949999999997,41904 68,38518 029999999999,40908 860000000001,43309 629999999997,41766 010000000002,46215 449999999997,42592 949999999997,40768 589999999997,40729 830000000002,40489 949999999997
2016,Prefeitura,1325015389,CONV.10/2012-SEE/PCRJ- REPASSE DE REC. FIN. DO PNAE P/ ALUNOS PROGRAMA MUNICIP. ENSINO,0,14063 519999999999,1060 47,1018 28,1192 1500000000001,1095 8099999999999,1163 8199999999999,1232 1300000000001,1188 2,1314 8,1211 73,1159 8299999999999,1158 73,1267 5699999999999
2016,Prefeitura,1325015521,CONTR. CEF/SMO 395822-81 - PRO-TRANSPORTE - JAR   DIM MARAVILHA,0,140359 95999999999,4357 4099999999999,317 91000000000003,32404 279999999999,25833 139999999999,6204 8299999999999,12903 139999999999,17323 57,1530 4200000000001,23378 450000000001,1396 77,1324 6199999999999,13385 42
2016,Prefeitura,1325015611,TRANSFERENCIA DO FNDE - PROGRAMA PROJOVEM URBANO - SMAS,724071,627892 26000000001,47346 629999999997,45463 019999999997,53225 93,48924 330000000002,51961 080000000002,55010 459999999999,53049 809999999998,58701 339999999997,54100 160000000003,51782 910000000003,51733 699999999997,56592 889999999999
2016,Prefeitura,1325015517,BID PROAP III 2482/OC-BR-PROGRAMA DE URBANIZACAO DE ASSENTAMENTOS POPULARES - SMH,0,4946615 7800000003,508383 69,464013 06,531894 19999999995,460068 06,429484 42999999999,397231 28999999998,377031 31,372667 40000000002,289767 58000000002,195077 57999999999,215809 57000000001,705187 60999999999
2016,Prefeitura,1325015530,CONTRAPARTIDA - PCRJ - PMAT III,0,711 84000000000003,0,30 640000000000001,22 100000000000001,0 14000000000000001,0 14999999999999999,29 829999999999998,0,208 69,69 969999999999999,111 04000000000001,139 61000000000001,99 670000000000002
2016,Prefeitura,1325015531,PAC II - PRACA DA BANDEIRA - RIO JOANA,0,8364 4899999999998,0,299 47000000000003,1117 9100000000001,173 34,644 42999999999995,198 16,479 01999999999998,3548 4299999999998,1033 95,425 29000000000002,271 77999999999997,172 71000000000001
2016,Prefeitura,1325015615,PEU DAS VARGENS E OUTRAS,338833,28231 850000000006,3236 4699999999998,3107 6999999999998,3638 3499999999999,3344 3099999999999,3551 8899999999999,3760 3400000000001,3626 3099999999999,4012 6399999999999,3698 1100000000001,3539 71,2753 8000000000002,-10037 780000000001
2016,Prefeitura,1325019814,Conv. 016/2012/CEF - CONDOMINIO PARQUE ROYAL -    TTS PMCMV - SMH,0,14302 68,643 87,1097 0799999999999,1289 5699999999999,1432 1600000000001,1691 98,1631 1900000000001,1497 9100000000001,2019 6800000000001,1316 1300000000001,1051 4200000000001,460 50999999999999,171 18000000000001
2016,Prefeitura,1325019982,PROGRAMA DE COLETA SELETIVA MRJ - CONTRAPARTIDA - SMAC,0,9 5399999999999991,0 71999999999999997,0 68999999999999995,0 81000000000000005,0 73999999999999999,0 79000000000000004,0 83999999999999997,0 80000000000000004,0 90000000000000002,0 81999999999999995,0 79000000000000004,0 78000000000000003,0 85999999999999999
2016,Prefeitura,1325019987,CONV. N.013/2012/CEF - RESIDENCIAL AYRES-TTS PMCMV-SMH,0,15356 389999999999,1000 16,958 38999999999999,1126 5599999999999,1380 0699999999999,1705 45,2283 3200000000002,1666 48,1924 8099999999999,1462 5899999999999,1191 8800000000001,475 88999999999999,180 78999999999999
2016,Prefeitura,1339990101,OUTRAS RECEITAS DE CONCESSOES E PERMISSOES,331497518,84086276 890000015,3430889 9100000001,1587078 48,38254966 920000002,1489382 1899999999,1675350 6000000001,9907877 5,3486917 1099999999,2011740 3899999999,6431216 0199999996,2558362 98,9285005 6199999992,3967489 1699999999
2016,Prefeitura,1600130401,EMISSAO DE CERTIFICADOS - ADMINSTRACAO DIRETA,834280,833976 50000000012,66230 229999999996,61656 379999999997,70350 929999999993,69404 720000000001,79942 179999999993,84283 850000000006,97747 639999999999,63992 220000000001,66173 25,64612 769999999997,63172 540000000001,46409 790000000001
2016,Prefeitura,1325015309,CONV. S/N/2000/ERJ - PARQUE DO JURAMENTO - SMO,0,116185 51000000001,8833 7000000000007,8482 2600000000002,9930 6200000000008,9128 0599999999995,9694 6399999999994,10263 57,9897 7700000000004,10952 190000000001,10093 74,9661 3999999999996,9652 2099999999991,9595 3500000000004
